id, phrase
1    , A BED & BREAKFAST ALONG THE COAST
2    , A BRIEF COLD SNAP
3    , A BUNGALOW ON THE WATER
4    , A BUSY THOROUGHFARE
5    , A CAN OF TOMATO SOUP
6    , A CITY FOR FOODIES
7    , A CITY FOR KIDS AND ADULTS
8    , A CITY WITH A RICH HISTORY
9    , A CITY WITH DISTINCT CHARACTER
10   , A COUNTRY OF GLACIERS
11   , A FARAWAY LAND
12   , A FIELD OF WILDFLOWERS
13   , A FILM-LOVER'S TOWN
14   , A FISHERMAN'S HUT
15   , A GOOD FIT
16   , A GREAT CITY
17   , A GREAT VACATION DESTINATION
18   , A GROWING FAMILY CITY
19   , A PACKED HOUSE
20   , A PRIVATE RESORT
21   , A SKI RESORT IN THE ANDES
22   , A SPACIOUS ESTATE ON THE BEACH IN MALIBU
23   , A STATE WITH GREAT HISTORY
24   , A STROLL ON THE BEACH
25   , A STROLL ON THE BEACH AT SUNRISE
26   , A STROLL ON THE BEACH AT SUNSET
27   , A VILLA ON A PRIVATE ISLAND
28   , A WAY OF LIFE
29   , ABANDON WAREHOUSE
30   , ABANDONED WAREHOUSE
31   , ABBEYS AND CONVENTS
32   , ABOVE-GROUND SWIMMING POOL
33   , ACADEMIC ACADEMY
34   , ACADEMIC LIBRARIES
35   , ACCESS ROAD
36   , ACCREDITED COLLEGE
37   , ACRES OF LUSH FORESTS
38   , ACRES OF PEAR TREES
39   , ACTIVE BUSINESS DISTRICT
40   , ADORABLE BOUTIQUE HOTEL
41   , ADVENTURELAND
42   , ADVENTURER'S PARADISE
43   , AFFLUENT SUBURB
44   , AFFORDABLE HOUSING
45   , AFTER- HOURS CLUB
46   , AFTER-HOUR CLUB
47   , AFTER-HOURS CLUB
48   , AFTER-HOURS DANCE CLUB
49   , AFTER-HOURS NIGHT CLUB
50   , AIR FORCE BASE
51   , AIR-CONDITIONED THEATER
52   , AIRPORT KIOSKS
53   , AIRPORT LOUNGE
54   , AIRPORT RUNWAY
55   , AIRPORT TERMINAL
56   , AIRY RESORTS
57   , ALAMO SQUARE
58   , ALIEN WORLDS
59   , ALL-AGES BOOKSTORE
60   , ALL-INCLUSIVE RESORT & SPA
61   , ALL-NIGHT DINER
62   , ALL-NIGHT FUN
63   , ALL-PAPERBACK BOOKSTORE
64   , ALL-YOU- CAN-EAT BREAKFAST BUFFET
65   , ALMA MATER
66   , ALPINE FOREST
67   , ALPINE MEADOW
68   , ALPINE MEADOWS
69   , ALPINE PLAYGROUND
70   , ALPINE TUNDRA
71   , ALPINE VILLAGE
72   , ALPINE VILLAGES
73   , AMAZING BOOKSTORES
74   , AMAZING CITIES
75   , AMAZING ECO LODGES
76   , AMAZING ECO-LODGES
77   , AMAZING HIKING SOTS
78   , AMAZING HIKING SPOTS
79   , AMAZING HIKING TRAILS
80   , AMAZING LIGHTHOUSES
81   , AMAZING RAINFORESTS
82   , AMAZING SURROUNDINGS
83   , AMAZING TEMPLES
84   , AMAZING WATER PARK
85   , AMAZING WETLANDS
86   , AMAZINGLY BEAUTIFUL COASTAL TOWNS
87   , AMAZON RAINFOREST
88   , AMAZON RIVER
89   , AMBASSADOR THEATER
90   , AMERICA'S TOP COLLEGES & UNIVERSITIES
91   , AMERICA'S TOP COLLEGES AND UNIVERSITIES
92   , AMERICA'S WEALTHIEST CITIES
93   , AMERICAN CONSULATE
94   , AMERICAN EMBASSY
95   , AMERICAN TRADITIONS
96   , AMISH COUNTRY
97   , AMPHITHEATER
